model,universe,oracle,rust,agree,oracle_ms,rust_ms,status
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/modeloqueanda.model,-1,DEFINABLE,DEFINABLE,True,21.5,1.6,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/suma4.model,-1,NOT_DEFINABLE,NOT_DEFINABLE,True,19.9,1.2,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/retrombo_nodef.model,-1,NOT_DEFINABLE,NOT_DEFINABLE,True,21.0,1.3,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/msimple.model,-1,DEFINABLE,DEFINABLE,True,23.2,1.6,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/malvada.model,-1,DEFINABLE,DEFINABLE,True,21.5,1.5,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/retrombo.model,-1,DEFINABLE,DEFINABLE,True,19.8,1.4,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/retrombo2.model,-1,DEFINABLE,DEFINABLE,True,20.3,1.4,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/retrombo3.model,-1,DEFINABLE,DEFINABLE,True,27.8,1.7,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/retrombo_nodef_sinpura.model,-1,NOT_DEFINABLE,NOT_DEFINABLE,True,22.0,1.4,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/algebra.model,-1,NOT_DEFINABLE,NOT_DEFINABLE,True,18.8,1.3,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena4.model,-1,DEFINABLE,DEFINABLE,True,23.5,1.6,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/testing/tests_definibilidad/fixtures/minimal.model,-1,DEFINABLE,DEFINABLE,True,19.5,1.2,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/testing/tests_definibilidad/fixtures/universo_un_elemento.model,-1,DEFINABLE,DEFINABLE,True,18.3,1.4,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/testing/tests_definibilidad/fixtures/modelo_solo_target.model,-1,NOT_DEFINABLE,NOT_DEFINABLE,True,18.3,1.2,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i0.model,-1,DEFINABLE,DEFINABLE,True,27.0,1.5,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i1.model,-1,DEFINABLE,DEFINABLE,True,26.1,1.5,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i2.model,-1,DEFINABLE,DEFINABLE,True,26.2,1.4,ok
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i3.model,-1,DEFINABLE,DEFINABLE,True,27.4,1.6,ok
