engine,model,ms,result
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i0.model,75.346,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i1.model,75.386,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i10.model,75.080,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i11.model,75.234,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i12.model,75.141,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i13.model,74.917,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i14.model,75.613,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i15.model,75.607,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i16.model,75.354,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i17.model,75.351,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i18.model,75.547,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i19.model,75.141,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i2.model,75.378,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i20.model,75.855,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i21.model,75.364,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i22.model,75.474,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i23.model,76.358,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i24.model,75.020,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i25.model,75.545,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i26.model,75.302,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i27.model,74.890,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i28.model,75.839,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i29.model,74.960,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i3.model,75.464,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i4.model,76.112,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i5.model,75.188,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i6.model,76.566,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i7.model,75.190,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i8.model,75.494,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i9.model,75.156,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i0.model,77.307,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i1.model,76.548,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i10.model,78.710,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i11.model,76.784,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i12.model,76.583,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i13.model,76.913,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i14.model,76.659,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i15.model,76.508,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i16.model,76.823,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i17.model,76.288,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i18.model,76.694,DEFINABLE
