engine,model,ms,result
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i0.model,0.340,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i1.model,0.329,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i2.model,0.328,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i3.model,0.294,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i4.model,0.370,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i0.model,0.350,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i1.model,0.330,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i2.model,0.327,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i3.model,0.338,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i4.model,0.350,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i0.model,1.196,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i1.model,1.137,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i2.model,1.395,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i3.model,1.155,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i4.model,1.246,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i0.model,1.206,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i1.model,1.915,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i2.model,1.354,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i3.model,1.248,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i4.model,1.381,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i0.model,0.082,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i1.model,0.073,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i2.model,0.085,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i3.model,0.080,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i4.model,0.099,DEFINABLE
hit,benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i0.model,0.090,DEFINABLE
