engine,model,ms,result
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i0.model,2.202,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i1.model,2.142,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i2.model,2.158,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i3.model,2.260,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i4.model,2.206,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i0.model,3.143,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i1.model,3.011,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i2.model,3.147,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i3.model,2.998,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i4.model,3.077,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i0.model,13.179,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i1.model,12.959,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i2.model,13.302,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i3.model,13.022,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i4.model,12.909,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i0.model,26.310,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i1.model,26.252,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i2.model,26.430,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i3.model,26.858,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i4.model,26.281,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i0.model,0.376,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i1.model,0.470,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i2.model,0.321,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i3.model,0.361,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i4.model,0.404,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i0.model,0.313,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i1.model,0.401,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i2.model,0.337,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i3.model,0.476,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i4.model,0.435,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i0.model,0.559,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i1.model,0.565,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i2.model,0.620,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i3.model,0.557,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i4.model,0.526,DEFINABLE
