engine,model,ms,result
hit,benches/scale/corpus_range/full/random_magma_n128_k2_full_i0.model,794.581,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n128_k2_full_i1.model,960.908,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n128_k2_full_i2.model,918.797,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n128_k2_full_i3.model,942.332,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n128_k2_full_i4.model,964.134,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n16_k2_full_i0.model,26.131,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n16_k2_full_i1.model,21.151,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n16_k2_full_i2.model,33.603,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n16_k2_full_i3.model,31.137,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n16_k2_full_i4.model,32.038,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n32_k2_full_i0.model,12.108,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n32_k2_full_i1.model,9.514,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n32_k2_full_i2.model,9.880,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n32_k2_full_i3.model,9.362,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n32_k2_full_i4.model,10.822,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n4_k2_full_i0.model,3.137,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n4_k2_full_i1.model,2.204,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n4_k2_full_i2.model,1.311,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n4_k2_full_i3.model,2.569,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n4_k2_full_i4.model,1.831,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n64_k2_full_i0.model,78.343,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n64_k2_full_i1.model,87.216,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n64_k2_full_i2.model,80.564,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n64_k2_full_i3.model,88.218,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n64_k2_full_i4.model,84.295,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n8_k2_full_i0.model,4.380,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n8_k2_full_i1.model,3.193,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n8_k2_full_i2.model,2.874,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n8_k2_full_i3.model,2.857,DEFINABLE
hit,benches/scale/corpus_range/full/random_magma_n8_k2_full_i4.model,3.057,DEFINABLE
