engine,model,ms,result
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i0.model,33.732,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i1.model,33.718,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i10.model,33.478,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i11.model,33.573,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i12.model,33.358,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i13.model,33.794,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i14.model,33.637,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i15.model,33.669,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i16.model,33.978,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i17.model,33.887,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i18.model,33.418,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i19.model,33.682,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i2.model,33.587,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i20.model,33.808,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i21.model,33.894,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i22.model,33.548,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i23.model,33.643,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i24.model,33.322,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i25.model,33.807,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i26.model,33.194,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i27.model,34.174,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i28.model,33.281,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i29.model,34.129,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i3.model,33.438,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i4.model,33.378,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i5.model,33.360,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i6.model,33.253,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i7.model,33.488,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i8.model,33.709,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_definable_fixed_i9.model,33.813,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i0.model,33.439,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i1.model,33.423,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i10.model,33.743,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i11.model,33.718,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i12.model,33.495,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i13.model,33.453,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i14.model,34.354,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i15.model,33.877,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i16.model,34.273,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i17.model,33.420,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i18.model,33.145,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i19.model,33.253,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/full/chain_unary_n128_k1_nondef_mix_i2.model,33.193,DEFINABLE
