engine,model,ms,result
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i0.model,0.387,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i1.model,0.394,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i2.model,0.331,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i3.model,0.331,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_definable_fixed_i4.model,0.372,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i0.model,0.346,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i1.model,0.327,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i2.model,0.345,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i3.model,0.334,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n16_k1_nondef_mix_i4.model,0.391,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i0.model,1.167,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i1.model,1.207,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i2.model,1.185,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i3.model,1.146,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_definable_fixed_i4.model,1.161,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i0.model,1.138,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i1.model,1.192,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i2.model,1.244,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i3.model,1.179,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n32_k1_nondef_mix_i4.model,7.941,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i0.model,0.182,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i1.model,0.195,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i2.model,0.143,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i3.model,0.153,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_definable_fixed_i4.model,0.184,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i0.model,0.374,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i1.model,0.142,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i2.model,0.141,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i3.model,0.131,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n4_k1_nondef_mix_i4.model,0.145,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i0.model,0.194,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i1.model,0.188,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i2.model,0.184,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i3.model,0.173,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_definable_fixed_i4.model,0.180,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_nondef_mix_i0.model,0.223,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_nondef_mix_i1.model,0.253,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_nondef_mix_i2.model,0.169,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_nondef_mix_i3.model,7.509,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/chain_unary_n8_k1_nondef_mix_i4.model,0.249,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_definable_eq_i0.model,0.537,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_definable_eq_i1.model,0.528,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_definable_eq_i2.model,0.422,DEFINABLE
