engine,model,ms,result
merge,benches/scale/corpus_range/full/random_magma_n128_k2_full_i0.model,321299.416,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n128_k2_full_i1.model,280642.009,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n128_k2_full_i2.model,112389.389,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n128_k2_full_i3.model,120735.431,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n128_k2_full_i4.model,112810.734,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n16_k2_full_i0.model,15.643,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n16_k2_full_i1.model,16.772,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n16_k2_full_i2.model,18.141,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n16_k2_full_i3.model,19.539,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n16_k2_full_i4.model,16.899,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n32_k2_full_i0.model,254.422,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n32_k2_full_i1.model,258.695,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n32_k2_full_i2.model,249.539,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n32_k2_full_i3.model,243.638,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n32_k2_full_i4.model,244.107,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n4_k2_full_i0.model,0.145,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n4_k2_full_i1.model,0.140,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n4_k2_full_i2.model,0.127,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n4_k2_full_i3.model,0.124,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n4_k2_full_i4.model,0.128,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n64_k2_full_i0.model,4183.153,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n64_k2_full_i1.model,4187.102,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n64_k2_full_i2.model,4242.698,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n64_k2_full_i3.model,3837.437,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n64_k2_full_i4.model,3791.768,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n8_k2_full_i0.model,1.149,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n8_k2_full_i1.model,1.126,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n8_k2_full_i2.model,1.082,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n8_k2_full_i3.model,1.169,DEFINABLE
merge,benches/scale/corpus_range/full/random_magma_n8_k2_full_i4.model,1.146,DEFINABLE
