tier,factor_set,model,ms,result,merge,agree_merge,timeout,wall_s,max_rss_mib_children,tmh_computes,tmh_cache_hits,proxy_rejects,proxy_full,rc
small,baseline,random_magma_n16_k2_definable_eq_i0.model,1.292,DEFINABLE,DEFINABLE,1,0,0.003,16.4,0,0,0,0,0
small,A,random_magma_n16_k2_definable_eq_i0.model,1.595,DEFINABLE,DEFINABLE,1,0,0.003,16.4,0,0,0,0,0
small,E,random_magma_n16_k2_definable_eq_i0.model,1.346,DEFINABLE,DEFINABLE,1,0,0.003,16.4,0,0,0,0,0
small,B,random_magma_n16_k2_definable_eq_i0.model,1.324,DEFINABLE,DEFINABLE,1,0,0.003,16.4,0,0,0,0,0
small,D2,random_magma_n16_k2_definable_eq_i0.model,1.216,DEFINABLE,DEFINABLE,1,0,0.003,16.4,0,0,0,0,0
small,C,random_magma_n16_k2_definable_eq_i0.model,1.210,DEFINABLE,DEFINABLE,1,0,0.003,16.4,0,0,0,0,0
small,A+E,random_magma_n16_k2_definable_eq_i0.model,1.185,DEFINABLE,DEFINABLE,1,0,0.002,16.4,0,0,0,0,0
small,baseline,random_magma_n16_k2_nondef_mix_i0.model,346.988,DEFINABLE,DEFINABLE,1,0,0.351,35.4,0,0,0,0,0
small,A,random_magma_n16_k2_nondef_mix_i0.model,348.492,DEFINABLE,DEFINABLE,1,0,0.353,35.4,0,0,0,0,0
small,E,random_magma_n16_k2_nondef_mix_i0.model,345.579,DEFINABLE,DEFINABLE,1,0,0.350,35.4,0,0,0,0,0
small,B,random_magma_n16_k2_nondef_mix_i0.model,340.631,DEFINABLE,DEFINABLE,1,0,0.344,35.7,0,0,0,0,0
small,D2,random_magma_n16_k2_nondef_mix_i0.model,330.755,DEFINABLE,DEFINABLE,1,0,0.335,36.0,0,0,0,0,0
small,C,random_magma_n16_k2_nondef_mix_i0.model,364.620,DEFINABLE,DEFINABLE,1,0,0.369,36.0,0,0,0,0,0
small,A+E,random_magma_n16_k2_nondef_mix_i0.model,338.289,DEFINABLE,DEFINABLE,1,0,0.343,36.0,0,0,0,0,0
small,baseline,random_magma_n16_k2_random_half_i0.model,0.960,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.003,36.0,,,,,0
small,A,random_magma_n16_k2_random_half_i0.model,0.940,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
small,E,random_magma_n16_k2_random_half_i0.model,0.972,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
small,B,random_magma_n16_k2_random_half_i0.model,0.991,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
small,D2,random_magma_n16_k2_random_half_i0.model,0.914,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
small,C,random_magma_n16_k2_random_half_i0.model,0.854,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
small,A+E,random_magma_n16_k2_random_half_i0.model,0.851,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
small,baseline,random_magma_n32_k1_definable_eq_i0.model,0.059,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.006,36.0,,,,,0
small,A,random_magma_n32_k1_definable_eq_i0.model,0.043,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.001,36.0,,,,,0
small,E,random_magma_n32_k1_definable_eq_i0.model,0.081,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
small,B,random_magma_n32_k1_definable_eq_i0.model,0.055,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
small,D2,random_magma_n32_k1_definable_eq_i0.model,0.065,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
small,C,random_magma_n32_k1_definable_eq_i0.model,0.082,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.001,36.0,,,,,0
small,A+E,random_magma_n32_k1_definable_eq_i0.model,0.050,NOT_DEFINABLE,NOT_DEFINABLE,1,0,0.002,36.0,,,,,0
