model,hit,merge,hit_ms,merge_ms,agree
chain_unary_n16_k1_definable_fixed_i0.model,DEFINABLE,DEFINABLE,0.340,0.387,1
chain_unary_n16_k1_definable_fixed_i1.model,DEFINABLE,DEFINABLE,0.329,0.394,1
chain_unary_n16_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,0.328,0.331,1
chain_unary_n16_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,0.294,0.331,1
chain_unary_n16_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,0.370,0.372,1
chain_unary_n16_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,0.350,0.346,1
chain_unary_n16_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.330,0.327,1
chain_unary_n16_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.327,0.345,1
chain_unary_n16_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.338,0.334,1
chain_unary_n16_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.350,0.391,1
chain_unary_n32_k1_definable_fixed_i0.model,DEFINABLE,DEFINABLE,1.196,1.167,1
chain_unary_n32_k1_definable_fixed_i1.model,DEFINABLE,DEFINABLE,1.137,1.207,1
chain_unary_n32_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,1.395,1.185,1
chain_unary_n32_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,1.155,1.146,1
chain_unary_n32_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,1.246,1.161,1
chain_unary_n32_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,1.206,1.138,1
chain_unary_n32_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,1.915,1.192,1
chain_unary_n32_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,1.354,1.244,1
chain_unary_n32_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,1.248,1.179,1
chain_unary_n32_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,1.381,7.941,1
chain_unary_n4_k1_definable_fixed_i0.model,DEFINABLE,DEFINABLE,0.082,0.182,1
chain_unary_n4_k1_definable_fixed_i1.model,DEFINABLE,DEFINABLE,0.073,0.195,1
chain_unary_n4_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,0.085,0.143,1
chain_unary_n4_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,0.080,0.153,1
chain_unary_n4_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,0.099,0.184,1
chain_unary_n4_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,0.090,0.374,1
chain_unary_n4_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.091,0.142,1
chain_unary_n4_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.088,0.141,1
chain_unary_n4_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.081,0.131,1
chain_unary_n4_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.091,0.145,1
chain_unary_n8_k1_definable_fixed_i0.model,DEFINABLE,DEFINABLE,0.111,0.194,1
chain_unary_n8_k1_definable_fixed_i1.model,DEFINABLE,DEFINABLE,0.135,0.188,1
chain_unary_n8_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,0.151,0.184,1
chain_unary_n8_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,0.142,0.173,1
chain_unary_n8_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,0.109,0.180,1
chain_unary_n8_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,0.132,0.223,1
chain_unary_n8_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.117,0.253,1
chain_unary_n8_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.151,0.169,1
chain_unary_n8_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.140,7.509,1
chain_unary_n8_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.224,0.249,1
cyclic_group_n16_k1_definable_eq_i0.model,DEFINABLE,DEFINABLE,1.082,0.537,1
cyclic_group_n16_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,1.173,0.528,1
cyclic_group_n16_k1_definable_eq_i2.model,DEFINABLE,DEFINABLE,1.158,0.422,1
cyclic_group_n16_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,1.031,1.085,1
cyclic_group_n16_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,1.092,0.402,1
cyclic_group_n16_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,1.077,0.418,1
cyclic_group_n16_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,1.164,0.402,1
cyclic_group_n16_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,1.122,0.402,1
cyclic_group_n16_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,1.073,0.404,1
cyclic_group_n16_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,1.165,0.392,1
cyclic_group_n16_k2_definable_eq_i0.model,DEFINABLE,DEFINABLE,0.602,0.369,1
cyclic_group_n16_k2_definable_eq_i1.model,DEFINABLE,DEFINABLE,0.702,0.361,1
cyclic_group_n16_k2_definable_eq_i2.model,DEFINABLE,DEFINABLE,0.666,0.365,1
cyclic_group_n16_k2_definable_eq_i3.model,DEFINABLE,DEFINABLE,0.681,0.367,1
cyclic_group_n16_k2_definable_eq_i4.model,DEFINABLE,DEFINABLE,0.654,0.360,1
cyclic_group_n16_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,25.116,4.203,1
cyclic_group_n16_k2_nondef_mix_i1.model,DEFINABLE,DEFINABLE,24.572,4.250,1
cyclic_group_n16_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,24.234,4.317,1
cyclic_group_n16_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,26.524,4.192,1
cyclic_group_n16_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,25.689,4.264,1
cyclic_group_n32_k1_definable_eq_i0.model,DEFINABLE,DEFINABLE,6.574,1.186,1
cyclic_group_n32_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,6.822,1.183,1
cyclic_group_n32_k1_definable_eq_i2.model,DEFINABLE,DEFINABLE,7.178,1.203,1
cyclic_group_n32_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,6.861,4.091,1
cyclic_group_n32_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,7.169,1.467,1
cyclic_group_n32_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,7.633,1.215,1
cyclic_group_n32_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,6.461,1.208,1
