model,hit,merge,hit_ms,merge_ms,agree
chain_unary_n128_k1_definable_fixed_i0.model,DEFINABLE,DEFINABLE,75.346,33.732,1
chain_unary_n128_k1_definable_fixed_i1.model,DEFINABLE,DEFINABLE,75.386,33.718,1
chain_unary_n128_k1_definable_fixed_i10.model,DEFINABLE,DEFINABLE,75.080,33.478,1
chain_unary_n128_k1_definable_fixed_i11.model,DEFINABLE,DEFINABLE,75.234,33.573,1
chain_unary_n128_k1_definable_fixed_i12.model,DEFINABLE,DEFINABLE,75.141,33.358,1
chain_unary_n128_k1_definable_fixed_i13.model,DEFINABLE,DEFINABLE,74.917,33.794,1
chain_unary_n128_k1_definable_fixed_i14.model,DEFINABLE,DEFINABLE,75.613,33.637,1
chain_unary_n128_k1_definable_fixed_i15.model,DEFINABLE,DEFINABLE,75.607,33.669,1
chain_unary_n128_k1_definable_fixed_i16.model,DEFINABLE,DEFINABLE,75.354,33.978,1
chain_unary_n128_k1_definable_fixed_i17.model,DEFINABLE,DEFINABLE,75.351,33.887,1
chain_unary_n128_k1_definable_fixed_i18.model,DEFINABLE,DEFINABLE,75.547,33.418,1
chain_unary_n128_k1_definable_fixed_i19.model,DEFINABLE,DEFINABLE,75.141,33.682,1
chain_unary_n128_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,75.378,33.587,1
chain_unary_n128_k1_definable_fixed_i20.model,DEFINABLE,DEFINABLE,75.855,33.808,1
chain_unary_n128_k1_definable_fixed_i21.model,DEFINABLE,DEFINABLE,75.364,33.894,1
chain_unary_n128_k1_definable_fixed_i22.model,DEFINABLE,DEFINABLE,75.474,33.548,1
chain_unary_n128_k1_definable_fixed_i23.model,DEFINABLE,DEFINABLE,76.358,33.643,1
chain_unary_n128_k1_definable_fixed_i24.model,DEFINABLE,DEFINABLE,75.020,33.322,1
chain_unary_n128_k1_definable_fixed_i25.model,DEFINABLE,DEFINABLE,75.545,33.807,1
chain_unary_n128_k1_definable_fixed_i26.model,DEFINABLE,DEFINABLE,75.302,33.194,1
chain_unary_n128_k1_definable_fixed_i27.model,DEFINABLE,DEFINABLE,74.890,34.174,1
chain_unary_n128_k1_definable_fixed_i28.model,DEFINABLE,DEFINABLE,75.839,33.281,1
chain_unary_n128_k1_definable_fixed_i29.model,DEFINABLE,DEFINABLE,74.960,34.129,1
chain_unary_n128_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,75.464,33.438,1
chain_unary_n128_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,76.112,33.378,1
chain_unary_n128_k1_definable_fixed_i5.model,DEFINABLE,DEFINABLE,75.188,33.360,1
chain_unary_n128_k1_definable_fixed_i6.model,DEFINABLE,DEFINABLE,76.566,33.253,1
chain_unary_n128_k1_definable_fixed_i7.model,DEFINABLE,DEFINABLE,75.190,33.488,1
chain_unary_n128_k1_definable_fixed_i8.model,DEFINABLE,DEFINABLE,75.494,33.709,1
chain_unary_n128_k1_definable_fixed_i9.model,DEFINABLE,DEFINABLE,75.156,33.813,1
chain_unary_n128_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,77.307,33.439,1
chain_unary_n128_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,76.548,33.423,1
chain_unary_n128_k1_nondef_mix_i10.model,DEFINABLE,DEFINABLE,78.710,33.743,1
chain_unary_n128_k1_nondef_mix_i11.model,DEFINABLE,DEFINABLE,76.784,33.718,1
chain_unary_n128_k1_nondef_mix_i12.model,DEFINABLE,DEFINABLE,76.583,33.495,1
chain_unary_n128_k1_nondef_mix_i13.model,DEFINABLE,DEFINABLE,76.913,33.453,1
chain_unary_n128_k1_nondef_mix_i14.model,DEFINABLE,DEFINABLE,76.659,34.354,1
chain_unary_n128_k1_nondef_mix_i15.model,DEFINABLE,DEFINABLE,76.508,33.877,1
chain_unary_n128_k1_nondef_mix_i16.model,DEFINABLE,DEFINABLE,76.823,34.273,1
chain_unary_n128_k1_nondef_mix_i17.model,DEFINABLE,DEFINABLE,76.288,33.420,1
chain_unary_n128_k1_nondef_mix_i18.model,DEFINABLE,DEFINABLE,76.694,33.145,1
chain_unary_n128_k1_nondef_mix_i19.model,DEFINABLE,DEFINABLE,76.759,33.253,1
chain_unary_n128_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,78.016,33.193,1
chain_unary_n128_k1_nondef_mix_i20.model,DEFINABLE,DEFINABLE,76.774,33.843,1
chain_unary_n128_k1_nondef_mix_i21.model,DEFINABLE,DEFINABLE,76.769,33.755,1
chain_unary_n128_k1_nondef_mix_i22.model,DEFINABLE,DEFINABLE,78.010,33.434,1
chain_unary_n128_k1_nondef_mix_i23.model,DEFINABLE,DEFINABLE,76.838,33.966,1
chain_unary_n128_k1_nondef_mix_i24.model,DEFINABLE,DEFINABLE,76.985,33.578,1
chain_unary_n128_k1_nondef_mix_i25.model,DEFINABLE,DEFINABLE,77.126,33.484,1
chain_unary_n128_k1_nondef_mix_i26.model,DEFINABLE,DEFINABLE,77.577,34.023,1
chain_unary_n128_k1_nondef_mix_i27.model,DEFINABLE,DEFINABLE,76.600,33.604,1
chain_unary_n128_k1_nondef_mix_i28.model,DEFINABLE,DEFINABLE,77.978,33.383,1
chain_unary_n128_k1_nondef_mix_i29.model,DEFINABLE,DEFINABLE,76.501,33.740,1
chain_unary_n128_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,76.978,33.397,1
chain_unary_n128_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,76.635,33.376,1
chain_unary_n128_k1_nondef_mix_i5.model,DEFINABLE,DEFINABLE,78.434,34.008,1
chain_unary_n128_k1_nondef_mix_i6.model,DEFINABLE,DEFINABLE,76.891,33.649,1
chain_unary_n128_k1_nondef_mix_i7.model,DEFINABLE,DEFINABLE,76.762,34.136,1
chain_unary_n128_k1_nondef_mix_i8.model,DEFINABLE,DEFINABLE,77.532,33.356,1
chain_unary_n128_k1_nondef_mix_i9.model,DEFINABLE,DEFINABLE,76.539,34.053,1
chain_unary_n16_k1_definable_fixed_i0.model,DEFINABLE,DEFINABLE,0.839,0.284,1
chain_unary_n16_k1_definable_fixed_i1.model,DEFINABLE,DEFINABLE,0.677,0.285,1
chain_unary_n16_k1_definable_fixed_i10.model,DEFINABLE,DEFINABLE,0.911,0.301,1
chain_unary_n16_k1_definable_fixed_i11.model,DEFINABLE,DEFINABLE,0.918,0.292,1
chain_unary_n16_k1_definable_fixed_i12.model,DEFINABLE,DEFINABLE,0.703,0.288,1
chain_unary_n16_k1_definable_fixed_i13.model,DEFINABLE,DEFINABLE,0.777,0.282,1
chain_unary_n16_k1_definable_fixed_i14.model,DEFINABLE,DEFINABLE,0.889,0.277,1
chain_unary_n16_k1_definable_fixed_i15.model,DEFINABLE,DEFINABLE,0.657,0.285,1
chain_unary_n16_k1_definable_fixed_i16.model,DEFINABLE,DEFINABLE,0.841,0.296,1
chain_unary_n16_k1_definable_fixed_i17.model,DEFINABLE,DEFINABLE,0.873,0.308,1
chain_unary_n16_k1_definable_fixed_i18.model,DEFINABLE,DEFINABLE,0.755,0.275,1
chain_unary_n16_k1_definable_fixed_i19.model,DEFINABLE,DEFINABLE,0.876,0.297,1
chain_unary_n16_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,0.645,0.311,1
chain_unary_n16_k1_definable_fixed_i20.model,DEFINABLE,DEFINABLE,0.996,0.280,1
chain_unary_n16_k1_definable_fixed_i21.model,DEFINABLE,DEFINABLE,0.716,0.304,1
chain_unary_n16_k1_definable_fixed_i22.model,DEFINABLE,DEFINABLE,0.629,0.280,1
chain_unary_n16_k1_definable_fixed_i23.model,DEFINABLE,DEFINABLE,0.926,0.288,1
chain_unary_n16_k1_definable_fixed_i24.model,DEFINABLE,DEFINABLE,0.693,0.280,1
chain_unary_n16_k1_definable_fixed_i25.model,DEFINABLE,DEFINABLE,0.643,0.281,1
chain_unary_n16_k1_definable_fixed_i26.model,DEFINABLE,DEFINABLE,0.645,0.291,1
chain_unary_n16_k1_definable_fixed_i27.model,DEFINABLE,DEFINABLE,0.757,0.283,1
chain_unary_n16_k1_definable_fixed_i28.model,DEFINABLE,DEFINABLE,0.761,0.281,1
chain_unary_n16_k1_definable_fixed_i29.model,DEFINABLE,DEFINABLE,0.877,0.301,1
chain_unary_n16_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,0.796,0.302,1
chain_unary_n16_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,1.055,0.295,1
chain_unary_n16_k1_definable_fixed_i5.model,DEFINABLE,DEFINABLE,1.019,0.305,1
chain_unary_n16_k1_definable_fixed_i6.model,DEFINABLE,DEFINABLE,1.041,0.300,1
chain_unary_n16_k1_definable_fixed_i7.model,DEFINABLE,DEFINABLE,0.848,0.354,1
chain_unary_n16_k1_definable_fixed_i8.model,DEFINABLE,DEFINABLE,1.022,0.279,1
chain_unary_n16_k1_definable_fixed_i9.model,DEFINABLE,DEFINABLE,0.907,0.292,1
chain_unary_n16_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,1.025,0.296,1
chain_unary_n16_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.986,0.356,1
chain_unary_n16_k1_nondef_mix_i10.model,DEFINABLE,DEFINABLE,0.931,0.293,1
chain_unary_n16_k1_nondef_mix_i11.model,DEFINABLE,DEFINABLE,1.034,0.287,1
chain_unary_n16_k1_nondef_mix_i12.model,DEFINABLE,DEFINABLE,0.624,0.290,1
chain_unary_n16_k1_nondef_mix_i13.model,DEFINABLE,DEFINABLE,0.988,0.285,1
chain_unary_n16_k1_nondef_mix_i14.model,DEFINABLE,DEFINABLE,0.663,0.311,1
chain_unary_n16_k1_nondef_mix_i15.model,DEFINABLE,DEFINABLE,0.664,0.282,1
chain_unary_n16_k1_nondef_mix_i16.model,DEFINABLE,DEFINABLE,0.869,0.310,1
chain_unary_n16_k1_nondef_mix_i17.model,DEFINABLE,DEFINABLE,0.667,0.278,1
chain_unary_n16_k1_nondef_mix_i18.model,DEFINABLE,DEFINABLE,0.613,0.317,1
chain_unary_n16_k1_nondef_mix_i19.model,DEFINABLE,DEFINABLE,0.645,0.303,1
chain_unary_n16_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.655,0.367,1
chain_unary_n16_k1_nondef_mix_i20.model,DEFINABLE,DEFINABLE,0.644,0.282,1
chain_unary_n16_k1_nondef_mix_i21.model,DEFINABLE,DEFINABLE,0.921,0.277,1
chain_unary_n16_k1_nondef_mix_i22.model,DEFINABLE,DEFINABLE,0.712,0.322,1
chain_unary_n16_k1_nondef_mix_i23.model,DEFINABLE,DEFINABLE,0.655,0.287,1
chain_unary_n16_k1_nondef_mix_i24.model,DEFINABLE,DEFINABLE,0.916,0.287,1
chain_unary_n16_k1_nondef_mix_i25.model,DEFINABLE,DEFINABLE,0.708,0.282,1
