model,hit,merge,agree,note
random_magma_n4_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n4_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n4_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n4_k1_random_half_i1.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n4_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n4_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n4_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n4_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n4_k2_random_half_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k1_definable_eq_i0.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k1_random_half_i0.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k1_random_half_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k2_nondef_mix_i1.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k2_random_half_i0.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k2_random_half_i2.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n8_k2_random_half_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k1_definable_eq_i0.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k1_definable_eq_i2.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k1_random_half_i0.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k1_random_half_i1.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k1_random_half_i2.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k2_random_half_i1.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k2_random_half_i2.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k2_random_half_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n16_k2_random_half_i4.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n32_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n32_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n32_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n32_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n32_k1_random_half_i1.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n32_k1_random_half_i3.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n32_k1_random_half_i4.model,DEFINABLE,DEFINABLE,true,ok
random_magma_n32_k2_nondef_mix_i2.model,TIMEOUT_OR_RSS_KILL,DEFINABLE,false,hit_oom_or_timeout
random_magma_n32_k2_nondef_mix_i3.model,TIMEOUT_OR_RSS_KILL,DEFINABLE,false,hit_oom_or_timeout
random_magma_n32_k2_random_half_i0.model,TIMEOUT_OR_RSS_KILL,DEFINABLE,false,hit_oom_or_timeout
random_magma_n32_k2_random_half_i1.model,TIMEOUT_OR_RSS_KILL,DEFINABLE,false,hit_oom_or_timeout
random_magma_n32_k2_random_half_i4.model,TIMEOUT_OR_RSS_KILL,DEFINABLE,false,hit_oom_or_timeout
