model,target,universe,k,inj_tuples,pat_classes,H_pat_univ,H_R,target_density,H_fp,fp_classes,pattern_mixes,fuel,skipped
model_examples/modeloqueanda.model,T0,3,3,6,1,0.000000,0.650022,0.166667,2.584963,6,1,4,
model_examples/suma4.model,T0,4,2,12,1,0.000000,0.000000,0.000000,2.751629,7,1,4,
model_examples/retrombo_nodef.model,T0,4,2,12,1,0.000000,0.413817,0.083333,1.483356,3,1,4,
model_examples/msimple.model,T0,8,2,56,1,0.000000,0.924134,0.339286,1.584500,3,1,4,
model_examples/retrombo.model,T0,4,2,12,1,0.000000,0.000000,1.000000,1.483356,3,0,4,
model_examples/cadena4.model,T0,4,3,24,1,0.000000,0.000000,1.000000,2.584963,6,0,4,
model_examples/malvada.model,T0,4,2,12,1,0.000000,0.000000,1.000000,1.483356,3,0,4,
model_examples/algebra.model,T0,3,2,6,1,0.000000,0.000000,0.000000,1.584963,3,1,4,
model_examples/miprueba.model,T0,5,2,20,1,0.000000,0.286397,0.050000,0.000000,1,1,4,
model_examples/cadena5.model,T0,5,4,120,1,0.000000,0.000000,1.000000,,,0,4,H_fp
model_examples/gigante.model,T0,18,2,306,1,0.000000,0.720619,0.199346,8.250852,305,1,4,
model_examples/16_T3_4_0.model,T0,16,3,3360,1,0.000000,0.000000,0.000000,,,0,4,H_fp
model_examples/p0_d0.0625_a2_u30_q5.model,T0,30,2,870,1,0.000000,0.000000,1.000000,,,0,4,H_fp
model_examples/modelosexperimento.model,T0,8,3,336,1,0.000000,0.073603,0.008929,8.392317,336,1,4,
model_examples/modelosimplequefalla.model,T0,8,3,336,1,0.000000,0.482066,0.895833,8.392317,336,1,4,
model_examples/retrombo_nodef_sinpura.model,T0,4,2,12,1,0.000000,0.000000,0.000000,1.483356,3,1,4,
model_examples/retromboconstantes.model,T0,4,2,12,1,0.000000,0.000000,0.000000,1.483356,3,1,4,
