variant,model,ms,steps,skipped,approx_reject,result,formula_size
baseline,model_examples/modeloqueanda.model,0.723,12,0,0,DEFINABLE,0
skip_useless,model_examples/modeloqueanda.model,0.515,4,8,0,DEFINABLE,0
approx,model_examples/modeloqueanda.model,0.926,12,0,0,DEFINABLE,0
combo,model_examples/modeloqueanda.model,0.838,4,8,0,DEFINABLE,0
simplify,model_examples/modeloqueanda.model,0.664,12,0,0,DEFINABLE,0
bfs,model_examples/modeloqueanda.model,0.380,12,0,0,DEFINABLE,0
ig_legacy,model_examples/modeloqueanda.model,3.122,12,0,0,DEFINABLE,0
baseline,model_examples/suma4.model,0.343,12,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/suma4.model,0.308,4,8,0,NOT_DEFINABLE,0
approx,model_examples/suma4.model,0.393,12,0,0,NOT_DEFINABLE,0
combo,model_examples/suma4.model,0.317,4,8,0,NOT_DEFINABLE,0
simplify,model_examples/suma4.model,0.348,12,0,0,NOT_DEFINABLE,0
bfs,model_examples/suma4.model,0.284,12,0,0,NOT_DEFINABLE,0
ig_legacy,model_examples/suma4.model,1.458,12,0,0,NOT_DEFINABLE,0
baseline,model_examples/retrombo_nodef.model,0.440,21,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/retrombo_nodef.model,0.308,3,18,0,NOT_DEFINABLE,0
approx,model_examples/retrombo_nodef.model,0.496,21,0,0,NOT_DEFINABLE,0
combo,model_examples/retrombo_nodef.model,0.398,3,18,0,NOT_DEFINABLE,0
simplify,model_examples/retrombo_nodef.model,0.415,21,0,0,NOT_DEFINABLE,0
bfs,model_examples/retrombo_nodef.model,0.373,21,0,0,NOT_DEFINABLE,0
ig_legacy,model_examples/retrombo_nodef.model,2.729,21,0,0,NOT_DEFINABLE,0
baseline,model_examples/msimple.model,0.479,2,0,0,DEFINABLE,0
skip_useless,model_examples/msimple.model,0.505,1,1,0,DEFINABLE,0
approx,model_examples/msimple.model,0.788,2,0,0,DEFINABLE,0
combo,model_examples/msimple.model,0.703,1,1,0,DEFINABLE,0
simplify,model_examples/msimple.model,0.492,2,0,0,DEFINABLE,0
bfs,model_examples/msimple.model,0.319,2,0,0,DEFINABLE,0
ig_legacy,model_examples/msimple.model,1.286,2,0,0,DEFINABLE,0
baseline,model_examples/retrombo.model,0.428,6,0,0,DEFINABLE,0
skip_useless,model_examples/retrombo.model,0.361,2,4,0,DEFINABLE,0
approx,model_examples/retrombo.model,0.440,6,0,0,DEFINABLE,0
combo,model_examples/retrombo.model,0.538,2,4,0,DEFINABLE,0
simplify,model_examples/retrombo.model,0.462,6,0,0,DEFINABLE,0
bfs,model_examples/retrombo.model,0.311,6,0,0,DEFINABLE,0
ig_legacy,model_examples/retrombo.model,1.386,6,0,0,DEFINABLE,0
baseline,model_examples/cadena4.model,1.299,42,0,0,DEFINABLE,0
skip_useless,model_examples/cadena4.model,0.989,8,34,0,DEFINABLE,0
approx,model_examples/cadena4.model,1.667,42,0,0,DEFINABLE,0
combo,model_examples/cadena4.model,1.305,8,34,0,DEFINABLE,0
simplify,model_examples/cadena4.model,1.371,42,0,0,DEFINABLE,0
bfs,model_examples/cadena4.model,1.220,42,0,0,DEFINABLE,0
ig_legacy,model_examples/cadena4.model,5.386,42,0,0,DEFINABLE,0
baseline,model_examples/malvada.model,0.533,6,0,0,DEFINABLE,0
skip_useless,model_examples/malvada.model,0.415,2,4,0,DEFINABLE,0
approx,model_examples/malvada.model,0.677,6,0,0,DEFINABLE,0
combo,model_examples/malvada.model,0.598,2,4,0,DEFINABLE,0
simplify,model_examples/malvada.model,0.564,6,0,0,DEFINABLE,0
bfs,model_examples/malvada.model,0.391,6,0,0,DEFINABLE,0
ig_legacy,model_examples/malvada.model,2.104,6,0,0,DEFINABLE,0
baseline,model_examples/algebra.model,0.259,6,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/algebra.model,0.224,3,3,0,NOT_DEFINABLE,0
approx,model_examples/algebra.model,0.268,6,0,0,NOT_DEFINABLE,0
combo,model_examples/algebra.model,0.281,3,3,0,NOT_DEFINABLE,0
simplify,model_examples/algebra.model,0.257,6,0,0,NOT_DEFINABLE,0
bfs,model_examples/algebra.model,0.217,6,0,0,NOT_DEFINABLE,0
ig_legacy,model_examples/algebra.model,0.517,6,0,0,NOT_DEFINABLE,0
baseline,model_examples/miprueba.model,0.205,1,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/miprueba.model,0.226,1,0,0,NOT_DEFINABLE,0
approx,model_examples/miprueba.model,0.245,0,0,1,NOT_DEFINABLE,0
combo,model_examples/miprueba.model,0.234,0,0,1,NOT_DEFINABLE,0
simplify,model_examples/miprueba.model,0.178,1,0,0,NOT_DEFINABLE,0
bfs,model_examples/miprueba.model,0.194,1,0,0,NOT_DEFINABLE,0
ig_legacy,model_examples/miprueba.model,0.219,1,0,0,NOT_DEFINABLE,0
baseline,model_examples/posetrombo.model,ERR,0,0,0,ERROR,0
skip_useless,model_examples/posetrombo.model,ERR,0,0,0,ERROR,0
approx,model_examples/posetrombo.model,ERR,0,0,0,ERROR,0
combo,model_examples/posetrombo.model,ERR,0,0,0,ERROR,0
simplify,model_examples/posetrombo.model,ERR,0,0,0,ERROR,0
bfs,model_examples/posetrombo.model,ERR,0,0,0,ERROR,0
ig_legacy,model_examples/posetrombo.model,ERR,0,0,0,ERROR,0
baseline,model_examples/cadena5.model,11.740,287,0,0,DEFINABLE,0
skip_useless,model_examples/cadena5.model,7.049,32,255,0,DEFINABLE,0
approx,model_examples/cadena5.model,14.147,287,0,0,DEFINABLE,0
combo,model_examples/cadena5.model,9.612,32,255,0,DEFINABLE,0
simplify,model_examples/cadena5.model,12.991,287,0,0,DEFINABLE,0
bfs,model_examples/cadena5.model,18.861,287,0,0,DEFINABLE,0
ig_legacy,model_examples/cadena5.model,61.826,287,0,0,DEFINABLE,0
baseline,model_examples/gigante.model,717.847,476,0,0,DEFINABLE,0
skip_useless,model_examples/gigante.model,653.267,200,276,0,DEFINABLE,0
approx,model_examples/gigante.model,784.139,476,0,0,DEFINABLE,0
combo,model_examples/gigante.model,850.155,200,276,0,DEFINABLE,0
simplify,model_examples/gigante.model,831.647,476,0,0,DEFINABLE,0
bfs,model_examples/gigante.model,1573.982,476,0,0,DEFINABLE,0
ig_legacy,model_examples/gigante.model,1875.850,476,0,0,DEFINABLE,0
baseline,model_examples/16_T3_4_0.model,1.789,11,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/16_T3_4_0.model,1.061,2,9,0,NOT_DEFINABLE,0
approx,model_examples/16_T3_4_0.model,0.475,0,0,1,NOT_DEFINABLE,0
combo,model_examples/16_T3_4_0.model,0.604,0,0,1,NOT_DEFINABLE,0
simplify,model_examples/16_T3_4_0.model,1.599,11,0,0,NOT_DEFINABLE,0
bfs,model_examples/16_T3_4_0.model,1.205,11,0,0,NOT_DEFINABLE,0
ig_legacy,model_examples/16_T3_4_0.model,5.884,11,0,0,NOT_DEFINABLE,0
baseline,model_examples/p0_d0.0625_a2_u30_q5.model,0.712,1,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/p0_d0.0625_a2_u30_q5.model,0.770,1,0,0,NOT_DEFINABLE,0
approx,model_examples/p0_d0.0625_a2_u30_q5.model,0.984,1,0,0,NOT_DEFINABLE,0
combo,model_examples/p0_d0.0625_a2_u30_q5.model,0.989,1,0,0,NOT_DEFINABLE,0
simplify,model_examples/p0_d0.0625_a2_u30_q5.model,0.787,1,0,0,NOT_DEFINABLE,0
bfs,model_examples/p0_d0.0625_a2_u30_q5.model,0.658,1,0,0,NOT_DEFINABLE,0
ig_legacy,model_examples/p0_d0.0625_a2_u30_q5.model,0.706,1,0,0,NOT_DEFINABLE,0
baseline,model_examples/modelosexperimento.model,5.147,21,0,0,DEFINABLE,0
skip_useless,model_examples/modelosexperimento.model,5.194,12,9,0,DEFINABLE,0
approx,model_examples/modelosexperimento.model,68.071,21,0,0,DEFINABLE,0
combo,model_examples/modelosexperimento.model,66.913,12,9,0,DEFINABLE,0
simplify,model_examples/modelosexperimento.model,5.238,21,0,0,DEFINABLE,0
bfs,model_examples/modelosexperimento.model,4.446,21,0,0,DEFINABLE,0
ig_legacy,model_examples/modelosexperimento.model,14.078,21,0,0,DEFINABLE,0
baseline,model_examples/modelosimplequefalla.model,37.567,1169,0,0,DEFINABLE,0
skip_useless,model_examples/modelosimplequefalla.model,30.492,266,903,0,DEFINABLE,0
approx,model_examples/modelosimplequefalla.model,100.310,1169,0,0,DEFINABLE,0
combo,model_examples/modelosimplequefalla.model,104.482,266,903,0,DEFINABLE,0
simplify,model_examples/modelosimplequefalla.model,48.940,1169,0,0,DEFINABLE,0
bfs,model_examples/modelosimplequefalla.model,396.710,1169,0,0,DEFINABLE,0
ig_legacy,model_examples/modelosimplequefalla.model,210.945,1169,0,0,DEFINABLE,0
baseline,model_examples/modelosupertragico.model,ERR,0,0,0,ERROR,0
skip_useless,model_examples/modelosupertragico.model,ERR,0,0,0,ERROR,0
approx,model_examples/modelosupertragico.model,ERR,0,0,0,ERROR,0
combo,model_examples/modelosupertragico.model,ERR,0,0,0,ERROR,0
simplify,model_examples/modelosupertragico.model,ERR,0,0,0,ERROR,0
bfs,model_examples/modelosupertragico.model,ERR,0,0,0,ERROR,0
ig_legacy,model_examples/modelosupertragico.model,ERR,0,0,0,ERROR,0
baseline,model_examples/retrombo_nodef_sinpura.model,0.275,3,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/retrombo_nodef_sinpura.model,0.243,1,2,0,NOT_DEFINABLE,0
approx,model_examples/retrombo_nodef_sinpura.model,0.276,0,0,1,NOT_DEFINABLE,0
combo,model_examples/retrombo_nodef_sinpura.model,0.261,0,0,1,NOT_DEFINABLE,0
simplify,model_examples/retrombo_nodef_sinpura.model,0.441,3,0,0,NOT_DEFINABLE,0
bfs,model_examples/retrombo_nodef_sinpura.model,0.266,3,0,0,NOT_DEFINABLE,0
ig_legacy,model_examples/retrombo_nodef_sinpura.model,0.605,3,0,0,NOT_DEFINABLE,0
baseline,model_examples/retromboconstantes.model,0.408,1,0,0,DEFINABLE,0
skip_useless,model_examples/retromboconstantes.model,0.313,1,0,0,DEFINABLE,0
approx,model_examples/retromboconstantes.model,0.396,1,0,0,DEFINABLE,0
