variant,model,ms,steps,skipped,approx_reject,result,formula_size
baseline,model_examples/modeloqueanda.model,0.733,12,0,0,DEFINABLE,0
skip_useless,model_examples/modeloqueanda.model,0.582,4,8,0,DEFINABLE,0
approx,model_examples/modeloqueanda.model,0.978,12,0,0,DEFINABLE,0
combo,model_examples/modeloqueanda.model,0.857,4,8,0,DEFINABLE,0
baseline,model_examples/suma4.model,0.415,12,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/suma4.model,0.440,4,8,0,NOT_DEFINABLE,0
approx,model_examples/suma4.model,0.474,12,0,0,NOT_DEFINABLE,0
combo,model_examples/suma4.model,0.388,4,8,0,NOT_DEFINABLE,0
baseline,model_examples/retrombo_nodef.model,0.516,21,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/retrombo_nodef.model,0.417,3,18,0,NOT_DEFINABLE,0
approx,model_examples/retrombo_nodef.model,0.517,21,0,0,NOT_DEFINABLE,0
combo,model_examples/retrombo_nodef.model,0.429,3,18,0,NOT_DEFINABLE,0
baseline,model_examples/msimple.model,0.580,2,0,0,DEFINABLE,0
skip_useless,model_examples/msimple.model,0.550,1,1,0,DEFINABLE,0
approx,model_examples/msimple.model,0.784,2,0,0,DEFINABLE,0
combo,model_examples/msimple.model,0.854,1,1,0,DEFINABLE,0
baseline,model_examples/retrombo.model,0.462,6,0,0,DEFINABLE,0
skip_useless,model_examples/retrombo.model,0.413,2,4,0,DEFINABLE,0
approx,model_examples/retrombo.model,0.524,6,0,0,DEFINABLE,0
combo,model_examples/retrombo.model,0.470,2,4,0,DEFINABLE,0
baseline,model_examples/cadena4.model,1.302,42,0,0,DEFINABLE,0
skip_useless,model_examples/cadena4.model,1.105,8,34,0,DEFINABLE,0
approx,model_examples/cadena4.model,1.636,42,0,0,DEFINABLE,0
combo,model_examples/cadena4.model,1.379,8,34,0,DEFINABLE,0
baseline,model_examples/malvada.model,0.580,6,0,0,DEFINABLE,0
skip_useless,model_examples/malvada.model,0.553,2,4,0,DEFINABLE,0
approx,model_examples/malvada.model,0.769,6,0,0,DEFINABLE,0
combo,model_examples/malvada.model,0.670,2,4,0,DEFINABLE,0
baseline,model_examples/algebra.model,0.347,6,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/algebra.model,0.320,3,3,0,NOT_DEFINABLE,0
approx,model_examples/algebra.model,0.341,6,0,0,NOT_DEFINABLE,0
combo,model_examples/algebra.model,0.347,3,3,0,NOT_DEFINABLE,0
baseline,model_examples/miprueba.model,0.271,1,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/miprueba.model,0.268,1,0,0,NOT_DEFINABLE,0
approx,model_examples/miprueba.model,0.256,0,0,1,NOT_DEFINABLE,0
combo,model_examples/miprueba.model,0.238,0,0,1,NOT_DEFINABLE,0
baseline,model_examples/cadena5.model,12.493,287,0,0,DEFINABLE,0
skip_useless,model_examples/cadena5.model,7.035,32,255,0,DEFINABLE,0
approx,model_examples/cadena5.model,14.553,287,0,0,DEFINABLE,0
combo,model_examples/cadena5.model,9.508,32,255,0,DEFINABLE,0
baseline,model_examples/gigante.model,690.121,476,0,0,DEFINABLE,0
skip_useless,model_examples/gigante.model,654.482,200,276,0,DEFINABLE,0
approx,model_examples/gigante.model,765.879,476,0,0,DEFINABLE,0
combo,model_examples/gigante.model,809.268,200,276,0,DEFINABLE,0
baseline,model_examples/16_T3_4_0.model,1.715,11,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/16_T3_4_0.model,1.087,2,9,0,NOT_DEFINABLE,0
approx,model_examples/16_T3_4_0.model,0.444,0,0,1,NOT_DEFINABLE,0
combo,model_examples/16_T3_4_0.model,0.473,0,0,1,NOT_DEFINABLE,0
baseline,model_examples/p0_d0.0625_a2_u30_q5.model,0.699,1,0,0,NOT_DEFINABLE,0
skip_useless,model_examples/p0_d0.0625_a2_u30_q5.model,0.684,1,0,0,NOT_DEFINABLE,0
approx,model_examples/p0_d0.0625_a2_u30_q5.model,0.957,1,0,0,NOT_DEFINABLE,0
combo,model_examples/p0_d0.0625_a2_u30_q5.model,0.982,1,0,0,NOT_DEFINABLE,0
