variant,model,ms,steps,skipped,approx_reject,result,formula_size
baseline,model_examples/modeloqueanda.model,0.807,4,8,0,DEFINABLE,0
skip_useless,model_examples/modeloqueanda.model,0.336,4,8,0,DEFINABLE,0
ig_legacy,model_examples/modeloqueanda.model,2.444,12,96,0,DEFINABLE,0
ig_experimental,model_examples/modeloqueanda.model,0.847,2,2,0,DEFINABLE,0
approx,model_examples/modeloqueanda.model,0.747,4,8,0,DEFINABLE,0
simplify,model_examples/modeloqueanda.model,0.343,4,8,0,DEFINABLE,0
bfs,model_examples/modeloqueanda.model,0.341,4,8,0,DEFINABLE,0
combo,model_examples/modeloqueanda.model,0.723,4,8,0,DEFINABLE,0
baseline,model_examples/suma4.model,0.372,4,24,0,NOT_DEFINABLE,0
skip_useless,model_examples/suma4.model,0.364,4,24,0,NOT_DEFINABLE,0
ig_legacy,model_examples/suma4.model,1.669,28,261,0,NOT_DEFINABLE,0
ig_experimental,model_examples/suma4.model,0.707,4,50,0,NOT_DEFINABLE,0
approx,model_examples/suma4.model,0.389,4,24,0,NOT_DEFINABLE,0
simplify,model_examples/suma4.model,0.377,4,24,0,NOT_DEFINABLE,0
bfs,model_examples/suma4.model,0.365,4,24,0,NOT_DEFINABLE,0
combo,model_examples/suma4.model,0.379,4,24,0,NOT_DEFINABLE,0
baseline,model_examples/retrombo_nodef.model,0.496,3,50,0,NOT_DEFINABLE,0
skip_useless,model_examples/retrombo_nodef.model,0.391,3,50,0,NOT_DEFINABLE,0
ig_legacy,model_examples/retrombo_nodef.model,3.058,53,785,0,NOT_DEFINABLE,0
ig_experimental,model_examples/retrombo_nodef.model,0.913,4,92,0,NOT_DEFINABLE,0
approx,model_examples/retrombo_nodef.model,0.450,3,50,0,NOT_DEFINABLE,0
simplify,model_examples/retrombo_nodef.model,0.400,3,50,0,NOT_DEFINABLE,0
bfs,model_examples/retrombo_nodef.model,0.373,3,50,0,NOT_DEFINABLE,0
combo,model_examples/retrombo_nodef.model,0.457,3,50,0,NOT_DEFINABLE,0
baseline,model_examples/msimple.model,0.653,1,1,0,DEFINABLE,0
skip_useless,model_examples/msimple.model,0.364,1,1,0,DEFINABLE,0
ig_legacy,model_examples/msimple.model,1.324,2,7,0,DEFINABLE,0
ig_experimental,model_examples/msimple.model,1.273,2,12,0,DEFINABLE,0
approx,model_examples/msimple.model,0.686,1,1,0,DEFINABLE,0
simplify,model_examples/msimple.model,0.328,1,1,0,DEFINABLE,0
bfs,model_examples/msimple.model,0.340,1,1,0,DEFINABLE,0
combo,model_examples/msimple.model,0.796,1,1,0,DEFINABLE,0
baseline,model_examples/cadena5.model,11.160,32,255,0,DEFINABLE,0
skip_useless,model_examples/cadena5.model,8.742,32,255,0,DEFINABLE,0
ig_legacy,model_examples/cadena5.model,114.079,287,4633,0,DEFINABLE,0
approx,model_examples/cadena5.model,11.102,32,255,0,DEFINABLE,0
simplify,model_examples/cadena5.model,8.622,32,255,0,DEFINABLE,0
bfs,model_examples/cadena5.model,8.416,32,255,0,DEFINABLE,0
combo,model_examples/cadena5.model,10.963,32,255,0,DEFINABLE,0
ig_experimental,model_examples/cadena5.model,19.191,25,348,0,DEFINABLE,0
baseline,model_examples/gigante.model,1978.747,200,276,0,DEFINABLE,0
skip_useless,model_examples/gigante.model,491.608,200,276,0,DEFINABLE,0
ig_legacy,model_examples/gigante.model,3075.591,476,5051,0,DEFINABLE,0
approx,model_examples/gigante.model,607.275,200,276,0,DEFINABLE,0
simplify,model_examples/gigante.model,487.079,200,276,0,DEFINABLE,0
bfs,model_examples/gigante.model,477.331,200,276,0,DEFINABLE,0
combo,model_examples/gigante.model,603.925,200,276,0,DEFINABLE,0
ig_experimental,model_examples/gigante.model,247.873,118,117,0,DEFINABLE,0
baseline,model_examples/16_T3_4_0.model,0.537,0,0,1,NOT_DEFINABLE,0
skip_useless,model_examples/16_T3_4_0.model,1.120,2,17,0,NOT_DEFINABLE,0
ig_legacy,model_examples/16_T3_4_0.model,9.457,19,143,0,NOT_DEFINABLE,0
approx,model_examples/16_T3_4_0.model,0.924,0,0,1,NOT_DEFINABLE,0
simplify,model_examples/16_T3_4_0.model,1.150,2,17,0,NOT_DEFINABLE,0
bfs,model_examples/16_T3_4_0.model,1.207,2,17,0,NOT_DEFINABLE,0
combo,model_examples/16_T3_4_0.model,0.590,0,0,1,NOT_DEFINABLE,0
ig_experimental,model_examples/16_T3_4_0.model,4.605,3,44,0,NOT_DEFINABLE,0
