variant,model,ms,steps,skipped,approx_reject,result,formula_size
baseline_noskip,model_examples/modeloqueanda.model,0.809,12,0,0,DEFINABLE,0
skip,model_examples/modeloqueanda.model,0.793,4,8,0,DEFINABLE,0
approx,model_examples/modeloqueanda.model,1.119,12,0,0,DEFINABLE,0
combo,model_examples/modeloqueanda.model,1.042,4,8,0,DEFINABLE,0
auto,model_examples/modeloqueanda.model,0.765,4,8,0,DEFINABLE,0
baseline_noskip,model_examples/suma4.model,0.658,12,0,0,NOT_DEFINABLE,0
skip,model_examples/suma4.model,0.524,4,8,0,NOT_DEFINABLE,0
approx,model_examples/suma4.model,0.646,12,0,0,NOT_DEFINABLE,0
combo,model_examples/suma4.model,0.549,4,8,0,NOT_DEFINABLE,0
auto,model_examples/suma4.model,0.582,4,8,0,NOT_DEFINABLE,0
baseline_noskip,model_examples/retrombo_nodef.model,0.720,21,0,0,NOT_DEFINABLE,0
skip,model_examples/retrombo_nodef.model,0.618,3,18,0,NOT_DEFINABLE,0
approx,model_examples/retrombo_nodef.model,0.818,21,0,0,NOT_DEFINABLE,0
combo,model_examples/retrombo_nodef.model,0.660,3,18,0,NOT_DEFINABLE,0
auto,model_examples/retrombo_nodef.model,0.515,3,18,0,NOT_DEFINABLE,0
baseline_noskip,model_examples/msimple.model,0.734,2,0,0,DEFINABLE,0
skip,model_examples/msimple.model,0.707,1,1,0,DEFINABLE,0
approx,model_examples/msimple.model,1.071,2,0,0,DEFINABLE,0
combo,model_examples/msimple.model,0.987,1,1,0,DEFINABLE,0
auto,model_examples/msimple.model,0.742,1,1,0,DEFINABLE,0
baseline_noskip,model_examples/retrombo.model,0.681,6,0,0,DEFINABLE,0
skip,model_examples/retrombo.model,0.633,2,4,0,DEFINABLE,0
approx,model_examples/retrombo.model,0.708,6,0,0,DEFINABLE,0
combo,model_examples/retrombo.model,0.702,2,4,0,DEFINABLE,0
auto,model_examples/retrombo.model,0.577,2,4,0,DEFINABLE,0
baseline_noskip,model_examples/cadena4.model,1.659,42,0,0,DEFINABLE,0
skip,model_examples/cadena4.model,1.203,8,34,0,DEFINABLE,0
approx,model_examples/cadena4.model,1.820,42,0,0,DEFINABLE,0
combo,model_examples/cadena4.model,1.455,8,34,0,DEFINABLE,0
auto,model_examples/cadena4.model,1.288,8,34,0,DEFINABLE,0
baseline_noskip,model_examples/malvada.model,0.789,6,0,0,DEFINABLE,0
skip,model_examples/malvada.model,0.689,2,4,0,DEFINABLE,0
approx,model_examples/malvada.model,0.892,6,0,0,DEFINABLE,0
combo,model_examples/malvada.model,0.848,2,4,0,DEFINABLE,0
auto,model_examples/malvada.model,0.620,2,4,0,DEFINABLE,0
baseline_noskip,model_examples/algebra.model,0.499,6,0,0,NOT_DEFINABLE,0
skip,model_examples/algebra.model,0.509,3,3,0,NOT_DEFINABLE,0
approx,model_examples/algebra.model,0.502,6,0,0,NOT_DEFINABLE,0
combo,model_examples/algebra.model,0.485,3,3,0,NOT_DEFINABLE,0
auto,model_examples/algebra.model,0.448,3,3,0,NOT_DEFINABLE,0
baseline_noskip,model_examples/miprueba.model,0.446,1,0,0,NOT_DEFINABLE,0
skip,model_examples/miprueba.model,0.447,1,0,0,NOT_DEFINABLE,0
approx,model_examples/miprueba.model,0.412,0,0,1,NOT_DEFINABLE,0
combo,model_examples/miprueba.model,0.387,0,0,1,NOT_DEFINABLE,0
auto,model_examples/miprueba.model,0.368,0,0,0,NOT_DEFINABLE,0
baseline_noskip,model_examples/cadena5.model,12.784,287,0,0,DEFINABLE,0
skip,model_examples/cadena5.model,6.739,32,255,0,DEFINABLE,0
approx,model_examples/cadena5.model,14.853,287,0,0,DEFINABLE,0
combo,model_examples/cadena5.model,10.120,32,255,0,DEFINABLE,0
auto,model_examples/cadena5.model,7.031,32,255,0,DEFINABLE,0
baseline_noskip,model_examples/gigante.model,736.943,476,0,0,DEFINABLE,0
skip,model_examples/gigante.model,653.189,200,276,0,DEFINABLE,0
approx,model_examples/gigante.model,796.642,476,0,0,DEFINABLE,0
combo,model_examples/gigante.model,838.044,200,276,0,DEFINABLE,0
auto,model_examples/gigante.model,649.527,200,276,0,DEFINABLE,0
baseline_noskip,model_examples/16_T3_4_0.model,1.811,11,0,0,NOT_DEFINABLE,0
skip,model_examples/16_T3_4_0.model,1.287,2,9,0,NOT_DEFINABLE,0
approx,model_examples/16_T3_4_0.model,0.655,0,0,1,NOT_DEFINABLE,0
combo,model_examples/16_T3_4_0.model,0.636,0,0,1,NOT_DEFINABLE,0
auto,model_examples/16_T3_4_0.model,1.313,2,9,0,NOT_DEFINABLE,0
baseline_noskip,model_examples/p0_d0.0625_a2_u30_q5.model,0.849,1,0,0,NOT_DEFINABLE,0
skip,model_examples/p0_d0.0625_a2_u30_q5.model,0.973,1,0,0,NOT_DEFINABLE,0
approx,model_examples/p0_d0.0625_a2_u30_q5.model,1.178,1,0,0,NOT_DEFINABLE,0
combo,model_examples/p0_d0.0625_a2_u30_q5.model,1.125,1,0,0,NOT_DEFINABLE,0
auto,model_examples/p0_d0.0625_a2_u30_q5.model,1.320,1,0,0,NOT_DEFINABLE,0
baseline_noskip,model_examples/modelosexperimento.model,5.412,21,0,0,DEFINABLE,0
skip,model_examples/modelosexperimento.model,4.975,12,9,0,DEFINABLE,0
approx,model_examples/modelosexperimento.model,65.141,21,0,0,DEFINABLE,0
combo,model_examples/modelosexperimento.model,65.305,12,9,0,DEFINABLE,0
auto,model_examples/modelosexperimento.model,5.096,12,9,0,DEFINABLE,0
baseline_noskip,model_examples/modelosimplequefalla.model,39.388,1169,0,0,DEFINABLE,0
skip,model_examples/modelosimplequefalla.model,31.975,266,903,0,DEFINABLE,0
approx,model_examples/modelosimplequefalla.model,99.180,1169,0,0,DEFINABLE,0
combo,model_examples/modelosimplequefalla.model,101.701,266,903,0,DEFINABLE,0
auto,model_examples/modelosimplequefalla.model,32.348,266,903,0,DEFINABLE,0
baseline_noskip,model_examples/retrombo_nodef_sinpura.model,0.423,3,0,0,NOT_DEFINABLE,0
skip,model_examples/retrombo_nodef_sinpura.model,0.448,1,2,0,NOT_DEFINABLE,0
approx,model_examples/retrombo_nodef_sinpura.model,0.419,0,0,1,NOT_DEFINABLE,0
combo,model_examples/retrombo_nodef_sinpura.model,0.385,0,0,1,NOT_DEFINABLE,0
auto,model_examples/retrombo_nodef_sinpura.model,0.416,1,2,0,NOT_DEFINABLE,0
baseline_noskip,model_examples/retromboconstantes.model,0.450,1,0,0,DEFINABLE,0
skip,model_examples/retromboconstantes.model,0.481,1,0,0,DEFINABLE,0
approx,model_examples/retromboconstantes.model,0.481,1,0,0,DEFINABLE,0
combo,model_examples/retromboconstantes.model,0.503,1,0,0,DEFINABLE,0
auto,model_examples/retromboconstantes.model,0.490,1,0,0,DEFINABLE,0
baseline_noskip,model_examples/cadena100.model,46.787,6,0,0,DEFINABLE,0
skip,model_examples/cadena100.model,33.121,2,4,0,DEFINABLE,0
