model,target,arity,unary_decision,has_nonunary_ops,would_early_exit,reason
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/16_T3_4_0.model,"T0|0|1,2|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/16_T3_4_0.model,T0|0|1|2|a3,3,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/algebra.model,"T0|0,1|a1",1,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena100.model,T0|0|1|a2,2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena100.model,"T0|0,1|a1",1,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena100con2f.model,T0|0|1|a2,2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena100con2f.model,"T0|0,1|a1",1,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena20.model,T0|0|1|2|3|a4,4,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena4.model,T0|0|1|2|a3,3,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena4.model,"T0|0,1|2|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena4.model,"T0|0,2|1|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena4.model,"T0|0,1,2|a1",1,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena4.model,"T0|0|1,2|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,1|2|3|a3",3,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0|1,3|2|a3",3,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,1,2|3|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,2|1|3|a3",3,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0|1,2,3|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,T0|0|1|2|3|a4,4,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0,2,3|1|a2",2,Skip,true,false,skip
/home/pablo/mios/adga_tesis/OpenDefAlgSplitting/model_examples/cadena5.model,"T0|0|1,2|3|a3",3,Skip,true,false,skip
